Dealer Code,Record Updated dt,LOGIN,Location Code,Customer Name,Customer Code,Customer Category,Invoice Number,Invoice Date,Parent,Sale return Date,Invoice Status,Voucher,Type,Part No,Part Name,UOM,HSN Number,Product Type,Product Category,GST Category,GST Sub-Category,Quantity,Unit Price,Line Item Discount %,Line Item Discount,Net Selling Price,Assessable Value,VAT %,VAT Amount,Freight Amt,Packaging Charges,CGST %,CGST Amt,SGST %,SGST Amt,UT GST %,UT GST Amt,IGST %,IGST Amt,Additional Tax Amt,Additional Tax Amt2,Additional Tax Amt3,Additional Tax Amt4,Additional Tax Amt5,Cess %,Cess Amt,Total Invoice Amount,Narration,Cancellation Date,Invoice Format,Executive Name,Additional Discount %,Cash Discount %,Credit Days,Invoice Type,FRT PKG CGST %,FRT PKG CGST AMT,FRT PKG SGST/UTGST %,FRT PKG SGST/UTGST AMT,FRT PKG IGST %,FRT PKG IGST AMT,FRT PKG CESS %,FRT PKG CESS AMT
30410,45066,30410G01,B,DHANALAKSHMI AUTOMOBILES - SAKLESHPUR30410-02-RC-5,30410-02-RC-5,Customer,30410BE23P3363,45066,Sale,,Open,Parts Invoice,Parts,83402KCC900S,PANEL INNER-83402KCC900S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,10,56,33.6,18.816,37.184,371.84,,0,,50,14,5.20576,14,5.20576,0,0,0,0,0,0,0,0,0,0,0,6963.87315,30410-02-PSAO-0523-4292,,Tax Invoice,HASSAN DSE,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SREE VENKATESHWARA SALES & SERVICE30410-02-DLR-0720-1,30410-02-DLR-0720-1,Dealer,30410BE23P3364,45066,Sale,,Open,Parts Invoice,Parts,17208AAT00099S,HOLDER COMP ELEMENT-17208AAT00099S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,12,244,35.87,87.5228,156.4772,1877.7264,,0,,,14,21.90681,14,21.90681,0,0,0,0,0,0,0,0,0,0,0,3749.26804,30410-02-PSAO-0523-4248,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SREE VENKATESHWARA SALES & SERVICE30410-02-DLR-0720-1,30410-02-DLR-0720-1,Dealer,30410BE23P3364,45066,Sale,,Open,Parts Invoice,Parts,41241AAN410S,DAMPER REAR WHEEL-41241AAN410S,PC,40169990,Spare Parts,HHML Parts,PARTS,PARTS18,44,33,29.25,9.6525,23.34749,1027.28956,,0,,,9,2.10128,9,2.10128,0,0,0,0,0,0,0,0,0,0,0,3749.26804,30410-02-PSAO-0523-4248,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SREE VENKATESHWARA SALES & SERVICE30410-02-DLR-0720-1,30410-02-DLR-0720-1,Dealer,30410BE23P3364,45066,Sale,,Open,Parts Invoice,Parts,45456AAW000S,SPRING BRK CABLE END-45456AAW000S,PC,73201011,Spare Parts,HHML Parts,PARTS,PARTS18,10,5,29.25,1.4625,3.53749,35.3749,,0,,,9,0.31838,9,0.31838,0,0,0,0,0,0,0,0,0,0,0,3749.26804,30410-02-PSAO-0523-4248,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SREE VENKATESHWARA SALES & SERVICE30410-02-DLR-0720-1,30410-02-DLR-0720-1,Dealer,30410BE23P3364,45066,Sale,,Open,Parts Invoice,Parts,90304438000S,NUT HEX CAP-90304438000S,PC,73181600,Spare Parts,HHML Parts,PARTS,PARTS18,10,11,29.25,3.2175,7.78249,77.8249,,0,,,9,0.70043,9,0.70043,0,0,0,0,0,0,0,0,0,0,0,3749.26804,30410-02-PSAO-0523-4248,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,13000KCC900S,CRANK SHAFT COMP.-13000KCC900S,PC,84831099,Spare Parts,HHML Parts,PARTS,PARTS18,1,3775,29.25,1104.1875,2670.81249,2670.81249,,0,,100,9,240.37313,9,240.37313,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,14100KVE900S,SHAFT COMP. CAM-14100KVE900S,PC,84831099,Spare Parts,HHML Parts,PARTS,PARTS18,1,884,29.25,258.57,625.43,625.43,,0,,100,9,56.2887,9,56.2887,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,14430KSP910S,ARM COMP. VALVE ROCKER-14430KSP910S,PC,84099191,Spare Parts,HHML Parts,PARTS,PARTS28,2,376,35.87,134.8712,241.1288,482.2576,,0,,100,14,33.75803,14,33.75803,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,17920KZN305S,CABLE THROT-17920KZN305S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,2,285,35.87,102.2295,182.7705,365.541,,0,,100,14,25.58787,14,25.58787,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,SHREE MOTORS2-32838916782,2-32838916782,AESC,30410BE23P3365,45066,Sale,,Open,Parts Invoice,Parts,33741KAK971S,REFLEX LEFT FR.-33741KAK971S,PC,85122090,Spare Parts,HHML Parts,PARTS,PARTS18,10,25,29.25,7.3125,17.68749,176.8749,,0,,100,9,1.59188,9,1.59188,0,0,0,0,0,0,0,0,0,0,0,15165.61963,30410-02-PSAO-0523-4306,,Tax Invoice,GOWTHAMA N,,,,Credit,0,0,0,0,0,0,0,0
